classifer,parameters,auc-roc,p_at_5,r_at_5,f1_at_5,p_at_10,r_at_10,"f1_at_10,",p_at_20,r_at_20,f1_at_20,run_time
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 1}",0.654673061755,0.463974381783,0.344517833554,0.395421120461,0.671944493862,0.997886393659,0.803104401446,0.336668890371,1.0,0.503743137581,0.016489
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 5}",0.829631909591,0.477139299057,0.35429326288,0.406640891517,0.355986479274,0.528665785997,0.425473102275,0.266399822104,0.791281373844,0.39860256197,0.051855
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 5}",0.776935957657,0.464330190358,0.344782034346,0.395724357516,0.352784202099,0.523910171731,0.421645758027,0.230998443407,0.686129458388,0.345633006155,0.051179
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 5}",0.787596435828,0.47624977762,0.353632760898,0.405882798878,0.357231809287,0.530515191546,0.426961513927,0.221169668668,0.656935270806,0.330926634503,0.064027
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 5}",0.810973234744,0.45347802882,0.336723910172,0.386475627322,0.369863013699,0.54927344782,0.442058260685,0.219524127196,0.652047556143,0.328464481783,0.05608
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 5}",0.811341164275,0.493328589219,0.366314398943,0.420438177545,0.456680305995,0.67820343461,0.545821815862,0.228329997776,0.67820343461,0.341640326069,0.043395
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 5}",0.808366004634,0.497242483544,0.369220607662,0.423773785157,0.347980786337,0.51677675033,0.415904741654,0.224905492551,0.668031704095,0.336516386625,0.040666
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'gini', 'max_depth': 10}",0.774050162347,0.421455257072,0.312945838838,0.359184292321,0.325209037538,0.482959048877,0.388688071444,0.214142761841,0.63606340819,0.320412576942,0.091465
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'gini', 'max_depth': 10}",0.774290819091,0.425902864259,0.316248348745,0.362974755515,0.322006760363,0.47820343461,0.384860727195,0.215610406938,0.640422721268,0.32260855099,0.077678
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 10}",0.78784472264,0.411136808397,0.305284015852,0.350390417709,0.317203344601,0.47107001321,0.379119710823,0.222014676451,0.659445178336,0.332190983197,0.084637
