classifer,parameters,auc-roc,p_at_5,r_at_5,f1_at_5,p_at_10,r_at_10,"f1_at_10,",p_at_20,r_at_20,f1_at_20,run_time
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.6571584060149193,0.46374487796187425,0.3486005089058524,0.39801223241590217,0.6651523249599145,1.0,0.7989086823944792,0.3325613503763417,1.0,0.4991310160427807,0.293621
DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6571584060149193,0.46374487796187425,0.3486005089058524,0.39801223241590217,0.6651523249599145,1.0,0.7989086823944792,0.3325613503763417,1.0,0.4991310160427807,0.032002
KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.5609411779571186,0.4026367361482273,0.3026650595955538,0.34556574923547406,0.22884375556743275,0.344047140752645,0.2748622479002835,0.1144167817218189,0.344047140752645,0.17172459893048125,4.990739
ET,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.5075628676560255,0.9848565829324781,0.7403240926744342,0.8452599388379205,0.6651523249599145,1.0,0.7989086823944792,0.3325613503763417,1.0,0.4991310160427807,0.136833
AB,"{'algorithm': 'SAMME', 'n_estimators': 1}",0.6571584060149193,0.46374487796187425,0.3486005089058524,0.39801223241590217,0.6651523249599145,1.0,0.7989086823944792,0.3325613503763417,1.0,0.4991310160427807,0.067208
GB,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1, 'subsample': 0.5}",0.6571584060149193,0.46374487796187425,0.3486005089058524,0.39801223241590217,0.6651523249599145,1.0,0.7989086823944792,0.3325613503763417,1.0,0.4991310160427807,0.12833
LR,"{'C': 0.01, 'penalty': 'l1'}",0.6955666426011848,0.27863887404240156,0.20945493504754253,0.23914373088685015,0.20140744699804025,0.30279898218829515,0.24190873589044026,0.14853249009041108,0.4466318467925539,0.22292780748663102,0.745553
NB,{},0.7036685301000887,0.26438624621414575,0.19874112762823087,0.22691131498470946,0.2153037591305897,0.32369090665595285,0.25859947573958164,0.15695007348683918,0.47194321682067764,0.23556149732620318,0.085666
