ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET NUMBER,ADDRESS STREET SUFFIX,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",CURRENT ACTIVITY,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS BUILDING OPEN OR BOARDED?,IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS THE BUILDING VACANT DUE TO FIRE?,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,SSA,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,address,community_area,complete_date,create_date,lat,loc,long,police_district,sanitation_violation,srn,status,type_service,ward,x_coord,y_coord,zip,community,time_to_complete,FIPS
W,BELMONT,4454.0,AVE,True,,REAR DOOR,Open,Vacant,,True,Front,,,,,,,16.0,,2017-02-02,41.93893955223497,"(41.93893955223497, -87.73869395669567)",-87.73869395669567,17.0,,17-00616016,,Vacant/Abandoned Building,30.0,1146035.30458246,1920900.54097696,60641.0,IRVING PARK,,170311612002
N,KEYSTONE,4352.0,AVE,False,,UNKNOWN,Open,Vacant,,False,Front,,,,,,,16.0,,2017-02-16,41.95996164741955,"(41.959961647419554, -87.72939562481783)",-87.72939562481783,17.0,,17-00865961,,Vacant/Abandoned Building,39.0,1148511.160069,1928578.73671022,60641.0,IRVING PARK,,170311603001
N,KENNETH,3313.0,AVE,False,,"OPEN GROUND LEVEL REAR PORCH WINDOW WITH ACCESS TO BASEMENT CATS OBSERVED EXITING BUILDING THROUGH OPEN WINDOW, PLYWOOD REMOVED FROM PREVIOUS BOARD UP, GARAGE HAS ROTTING/MISSING SOFFIT/FASCIA",Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-07,41.941006359051315,"(41.94100635905131, -87.73832602568166)",-87.73832602568164,17.0,,17-01264020,,Vacant/Abandoned Building,30.0,1146130.18147295,1921654.38438147,60641.0,IRVING PARK,,170311612002
N,RICHMOND,4049.0,ST,False,,,Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-20,41.95485311120806,"(41.95485311120806, -87.7019332946735)",-87.7019332946735,17.0,,17-01526944,,Vacant/Abandoned Building,33.0,1155994.21187877,1926771.00831215,60618.0,IRVING PARK,,170311606021
N,MOZART,4014.0,ST,False,,,Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-21,41.95422385518205,"(41.95422385518205, -87.69947155197438)",-87.69947155197437,17.0,,17-01556700,,Vacant/Abandoned Building,33.0,1156665.51810826,1926546.64840253,60618.0,IRVING PARK,,170311606021
,,,,,,,,,,,,,,,,,4240 N KEELER AVE,16.0,2017-01-03,2017-01-02,41.95798262337296,"(41.95798262337295, -87.73260547955365)",-87.73260547955365,17.0,Garbage in yard,17-00023515,Completed,Sanitation Code Violation,39.0,1147643.18428477,1927851.43699867,60641.0,IRVING PARK,1.0,170311603003
,,,,,,,,,,,,,,,,,3407 N KARLOV AVE,16.0,2017-01-03,2017-01-02,41.9433546047366,"(41.94335460473659, -87.72913945342785)",-87.72913945342785,17.0,Garbage in alley,17-00033254,Completed,Sanitation Code Violation,30.0,1148623.49740018,1922527.57278489,60641.0,IRVING PARK,1.0,170311613002
,,,,,,,,,,,,,,,,,4230 N KIMBALL AVE,16.0,2017-01-04,2017-01-03,41.95842049480589,"(41.95842049480588, -87.7130563734635)",-87.7130563734635,17.0,Garbage in alley,17-00042627,Completed,Sanitation Code Violation,35.0,1152959.25232148,1928048.88000988,60618.0,IRVING PARK,1.0,170311605012
,,,,,,,,,,,,,,,,,4013 N MONTICELLO AVE,16.0,2017-01-06,2017-01-03,41.95397414232689,"(41.95397414232689, -87.71908684681729)",-87.7190868468173,17.0,Other,17-00044098,Completed,Sanitation Code Violation,45.0,1151330.62941382,1926416.79960274,60618.0,IRVING PARK,3.0,170311604002
,,,,,,,,,,,,,,,,,3917 N TROY ST,16.0,2017-01-10,2017-01-04,41.9524330205051,"(41.95243302050509, -87.70675324110807)",-87.70675324110806,17.0,Garbage in yard,17-00070671,Completed,Sanitation Code Violation,33.0,1154689.60252173,1925879.49689042,60618.0,IRVING PARK,6.0,170311607005
,,,,,,,,,,,,,,,,,3999 W IRVING PARK RD,16.0,2017-01-06,2017-01-05,41.953647788034786,"(41.95364778803479, -87.72761716373047)",-87.72761716373047,17.0,Other,17-00084060,Completed,Sanitation Code Violation,45.0,1149011.13677118,1926281.35989102,60618.0,IRVING PARK,1.0,170311609002
,,,,,,,,,,,,,,,,,3420 W GRACE ST,16.0,2017-01-09,2017-01-05,41.95020404530221,"(41.9502040453022, -87.7136484784506)",-87.71364847845058,17.0,Garbage in alley,17-00088596,Completed,Sanitation Code Violation,35.0,1152819.85487875,1925053.61422577,60618.0,IRVING PARK,4.0,170311608003
,,,,,,,,,,,,,,,,,4340 N SPAULDING AVE,16.0,2017-01-10,2017-01-05,41.96038417507217,"(41.96038417507217, -87.71066960910046)",-87.71066960910045,17.0,Other,17-00087235,Completed,Sanitation Code Violation,33.0,1153603.2319792,1928769.16012628,60618.0,IRVING PARK,5.0,170311605011
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-12,2017-01-05,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00090964,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,7.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-12,2017-01-05,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00090963,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,7.0,170311606021
,,,,,,,,,,,,,,,,,4049 N RICHMOND ST,16.0,2017-01-12,2017-01-09,41.95485311120806,"(41.95485311120806, -87.7019332946735)",-87.7019332946735,17.0,Garbage in yard,17-00138650,Completed,Sanitation Code Violation,33.0,1155994.21187877,1926771.00831215,60618.0,IRVING PARK,3.0,170311606021
,,,,,,,,,,,,,,,,,3759 N SAWYER AVE,16.0,2017-01-18,2017-01-09,41.949527553349476,"(41.949527553349476, -87.70912285363727)",-87.70912285363725,17.0,Garbage in yard,17-00144085,Completed,Sanitation Code Violation,33.0,1154052.73921392,1924816.03220356,60618.0,IRVING PARK,9.0,170311608001
,,,,,,,,,,,,,,,,,4544 N KILDARE AVE,16.0,2017-01-10,2017-01-10,41.96394463943163,"(41.96394463943163, -87.73574281267331)",-87.73574281267332,17.0,Construction Site Cleanliness/Fence,17-00168654,Completed,Sanitation Code Violation,39.0,1146774.69988678,1930018.04997759,60630.0,IRVING PARK,0.0,170311602002
,,,,,,,,,,,,,,,,,4316 N CENTRAL PARK AVE,16.0,2017-01-11,2017-01-11,41.95954393905149,"(41.95954393905149, -87.71798961709088)",-87.71798961709088,17.0,Garbage in yard,17-00180091,Completed,Sanitation Code Violation,35.0,1151614.51306673,1928448.59318617,60618.0,IRVING PARK,0.0,170311604001
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,2017-01-18,2017-01-11,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Other,17-00197298,Completed,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,7.0,170311606021
,,,,,,,,,,,,,,,,,4208 W IRVING PARK RD,16.0,2017-01-18,2017-01-12,41.95359270357292,"(41.953592703572916, -87.73279704456377)",-87.73279704456377,17.0,Other,17-00210314,Completed,Sanitation Code Violation,45.0,1147602.29003129,1926251.3711131,60641.0,IRVING PARK,6.0,170311603002
,,,,,,,,,,,,,,,,,3840 N DRAKE AVE,16.0,2017-01-17,2017-01-13,41.95087310424115,"(41.95087310424116, -87.71650689860638)",-87.71650689860638,17.0,Other,17-00222199,Completed,Sanitation Code Violation,35.0,1152040.53481726,1925291.81221388,60618.0,IRVING PARK,4.0,170311608004
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,2017-01-18,2017-01-13,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Other,17-00220153,Completed - Dup,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,5.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-18,2017-01-13,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Other,17-00222397,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,5.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-18,2017-01-13,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Other,17-00220154,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,5.0,170311606021
,,,,,,,,,,,,,,,,,4350 W CULLOM AVE,16.0,2017-01-18,2017-01-13,41.95901346899257,"(41.95901346899257, -87.73728044552635)",-87.73728044552635,17.0,Other,17-00232974,Completed,Sanitation Code Violation,39.0,1146369.01300367,1928218.20140752,60641.0,IRVING PARK,5.0,170311602003
,,,,,,,,,,,,,,,,,4151 N KENNETH AVE,16.0,2017-01-19,2017-01-13,41.95630094129359,"(41.956300941293584, -87.73938418784888)",-87.73938418784887,17.0,Other,17-00231225,Completed,Sanitation Code Violation,45.0,1145803.66987831,1927225.77451725,60641.0,IRVING PARK,6.0,170311602004
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-18,2017-01-14,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Other,17-00254970,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,,2017-01-14,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Other,17-00254971,Open - Dup,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,,170311606021
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,,2017-01-16,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Overflowing carts,17-00288340,Open - Dup,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,,2017-01-16,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00288342,Open - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,,170311606021
,,,,,,,,,,,,,,,,,2809 W WAVELAND AVE,16.0,2017-01-20,2017-01-19,41.94850165784789,"(41.94850165784789, -87.69846412611004)",-87.69846412611004,17.0,Garbage in alley,17-00333652,Completed - Dup,Sanitation Code Violation,33.0,1156954.99362157,1924463.49011643,60618.0,IRVING PARK,1.0,170311607003
,,,,,,,,,,,,,,,,,2809 W WAVELAND AVE,16.0,2017-01-20,2017-01-19,41.94850165784789,"(41.94850165784789, -87.69846412611004)",-87.69846412611004,17.0,Dumpster not being emptied,17-00333644,Completed,Sanitation Code Violation,33.0,1156954.99362157,1924463.49011643,60618.0,IRVING PARK,1.0,170311607003
,,,,,,,,,,,,,,,,,4017 N CENTRAL PARK AVE,16.0,2017-01-24,2017-01-21,41.954099346120216,"(41.954099346120216, -87.71782242467201)",-87.71782242467201,17.0,Garbage in alley,17-00382495,Completed,Sanitation Code Violation,35.0,1151674.23748121,1926464.89191427,60618.0,IRVING PARK,3.0,170311604001
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-24,2017-01-22,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00398228,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,4032 N MOZART ST,16.0,2017-01-24,2017-01-22,41.95455321973826,"(41.95455321973826, -87.69948225857972)",-87.6994822585797,17.0,Overflowing carts,17-00400565,Completed - Dup,Sanitation Code Violation,33.0,1156661.71810826,1926666.64840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,3754 N BERNARD ST,16.0,2017-01-24,2017-01-22,41.94937011311689,"(41.94937011311688, -87.7140109283396)",-87.71401092833959,17.0,Other,17-00390827,Completed,Sanitation Code Violation,35.0,1152723.45487875,1924749.01422577,60618.0,IRVING PARK,2.0,170311608003
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-24,2017-01-22,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00398144,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,2017-01-24,2017-01-22,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Overflowing carts,17-00398234,Completed,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,4032 N MOZART ST,16.0,2017-01-24,2017-01-22,41.95455321973826,"(41.95455321973826, -87.69948225857972)",-87.6994822585797,17.0,Overflowing carts,17-00398238,Completed,Sanitation Code Violation,33.0,1156661.71810826,1926666.64840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,3708 N SAWYER AVE,16.0,2017-01-25,2017-01-23,41.94858721997164,"(41.94858721997164, -87.70909704266889)",-87.70909704266892,17.0,Dog feces in yard,17-00406790,Completed,Sanitation Code Violation,33.0,1154062.25623133,1924473.42311359,60618.0,IRVING PARK,2.0,170311608001
,,,,,,,,,,,,,,,,,4140 N KEYSTONE AVE,16.0,2017-01-26,2017-01-24,41.956196041802244,"(41.956196041802244, -87.72929097333723)",-87.72929097333723,17.0,Overflowing carts,17-00441652,Completed,Sanitation Code Violation,39.0,1148549.29610661,1927206.73807959,60641.0,IRVING PARK,2.0,170311603001
,,,,,,,,,,,,,,,,,4015 N HARDING AVE,16.0,2017-01-27,2017-01-24,41.953942589924004,"(41.953942589924, -87.7264023718115)",-87.7264023718115,17.0,Construction Site Cleanliness/Fence,17-00434196,Completed,Sanitation Code Violation,45.0,1149340.81342739,1926391.12441232,60618.0,IRVING PARK,3.0,170311604002
,,,,,,,,,,,,,,,,,3138 W IRVING PARK RD,16.0,2017-01-31,2017-01-26,41.95392739315557,"(41.953927393155574, -87.70693598908449)",-87.70693598908449,17.0,Garbage in yard,17-00486931,Completed,Sanitation Code Violation,33.0,1154635.91181916,1926423.68767347,60618.0,IRVING PARK,5.0,170311606022
,,,,,,,,,,,,,,,,,3425 W BERTEAU AVE,16.0,2017-01-31,2017-01-28,41.95748070499261,"(41.957480704992605, -87.71408061584536)",-87.71408061584536,17.0,Other,17-00514994,Completed,Sanitation Code Violation,35.0,1152683.14201678,1927704.40253136,60618.0,IRVING PARK,3.0,170311605012
,,,,,,,,,,,,,,,,,4001 N KEYSTONE AVE,16.0,2017-01-30,2017-01-29,41.95365270905052,"(41.953652709050516, -87.72921147140147)",-87.72921147140146,17.0,Dog feces in yard,17-00531407,Completed,Sanitation Code Violation,39.0,1148577.45401924,1926280.09207223,60641.0,IRVING PARK,1.0,170311603002
,,,,,,,,,,,,,,,,,3708 N SAWYER AVE,16.0,2017-01-31,2017-01-30,41.94858721997164,"(41.94858721997164, -87.70909704266889)",-87.70909704266892,17.0,Dog feces in yard,17-00542849,Completed,Sanitation Code Violation,33.0,1154062.25623133,1924473.42311359,60618.0,IRVING PARK,1.0,170311608001
,,,,,,,,,,,,,,,,,3710 N KIMBALL AVE,16.0,2017-01-31,2017-01-30,41.94870466294011,"(41.94870466294011, -87.71277486106472)",-87.71277486106472,17.0,,17-00548163,Completed,Sanitation Code Violation,35.0,1153061.45777081,1924508.95439119,60618.0,IRVING PARK,1.0,170311608003
,,,,,,,,,,,,,,,,,4313 N MONTICELLO AVE,16.0,2017-01-31,2017-01-30,41.9594740199589,"(41.95947401995891, -87.71920941522427)",-87.71920941522427,17.0,Garbage in yard,17-00550036,Completed,Sanitation Code Violation,35.0,1151282.92699698,1928420.73437065,60618.0,IRVING PARK,1.0,170311604001
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-01,2017-01-30,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Garbage in yard,17-00541912,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,3420 W GRACE ST,16.0,2017-02-03,2017-01-31,41.95020404530221,"(41.9502040453022, -87.7136484784506)",-87.71364847845058,17.0,Garbage in alley,17-00577037,Completed,Sanitation Code Violation,35.0,1152819.85487875,1925053.61422577,60618.0,IRVING PARK,3.0,170311608003
,,,,,,,,,,,,,,,,,3659 N MOZART ST,16.0,2017-02-03,2017-02-01,41.94776125284701,"(41.94776125284701, -87.69928617542911)",-87.69928617542911,17.0,Dumpster not being emptied,17-00597858,Completed,Sanitation Code Violation,33.0,1156733.36449741,1924192.02898908,60618.0,IRVING PARK,2.0,170311607003
,,,,,,,,,,,,,,,,,4148 N PULASKI RD,16.0,2017-02-03,2017-02-01,41.956360839435604,"(41.9563608394356, -87.72769527268787)",-87.72769527268787,17.0,Garbage in yard,17-00597913,Completed,Sanitation Code Violation,39.0,1148982.90342451,1927269.85422732,60641.0,IRVING PARK,2.0,170311603001
,,,,,,,,,,,,,,,,,4045 N FRANCISCO AVE,16.0,2017-02-03,2017-02-01,41.954785649744686,"(41.95478564974469, -87.70070933486332)",-87.70070933486332,17.0,Overflowing carts,17-00603467,Completed,Sanitation Code Violation,33.0,1156327.31847383,1926748.88038951,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,3708 N SAWYER AVE,16.0,2017-02-07,2017-02-03,41.94858721997164,"(41.94858721997164, -87.70909704266889)",-87.70909704266892,17.0,Dog feces in yard,17-00626700,Completed,Sanitation Code Violation,33.0,1154062.25623133,1924473.42311359,60618.0,IRVING PARK,4.0,170311608001
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-09,2017-02-04,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00642218,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,5.0,170311606021
,,,,,,,,,,,,,,,,,4239 W ADDISON ST,16.0,2017-02-06,2017-02-05,41.9462921765797,"(41.9462921765797, -87.73379692632236)",-87.73379692632238,17.0,Garbage in alley,17-00661285,Completed,Sanitation Code Violation,30.0,1147348.91989596,1923589.13442338,60641.0,IRVING PARK,1.0,170311613004
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-09,2017-02-05,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00655289,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4151 N PULASKI RD,16.0,2017-02-08,2017-02-06,41.956416181030534,"(41.95641618103053, -87.72769660235744)",-87.72769660235744,17.0,Garbage in yard,17-00677904,Completed - Dup,Sanitation Code Violation,39.0,1148982.39923192,1927290.01832798,60641.0,IRVING PARK,2.0,170311603001
,,,,,,,,,,,,,,,,,3915 N FRANCISCO AVE,16.0,2017-02-08,2017-02-06,41.95241617886787,"(41.95241617886787, -87.70064038783664)",-87.70064038783664,17.0,Garbage in alley,17-00673436,Completed,Sanitation Code Violation,33.0,1156352.44697444,1925885.57590617,60618.0,IRVING PARK,2.0,170311607002
,,,,,,,,,,,,,,,,,4151 N PULASKI RD,16.0,2017-02-08,2017-02-06,41.956416181030534,"(41.95641618103053, -87.72769660235744)",-87.72769660235744,17.0,Other,17-00677819,Completed,Sanitation Code Violation,39.0,1148982.39923192,1927290.01832798,60641.0,IRVING PARK,2.0,170311603001
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-09,2017-02-06,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00682377,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,3.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-09,2017-02-06,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Other,17-00682378,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,3.0,170311606021
,,,,,,,,,,,,,,,,,3917 N RICHMOND ST,16.0,2017-02-09,2017-02-06,41.952445499465725,"(41.95244549946573, -87.70186230686389)",-87.7018623068639,17.0,Garbage in alley,17-00674008,Completed,Sanitation Code Violation,33.0,1156019.98556927,1925893.80901021,60618.0,IRVING PARK,3.0,170311607002
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,2017-02-09,2017-02-07,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Overflowing carts,17-00687059,Completed,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,2.0,170311606021
,,,,,,,,,,,,,,,,,3110 W BERTEAU AVE,16.0,2017-02-09,2017-02-08,41.95756388274763,"(41.95756388274763, -87.7061076238545)",-87.7061076238545,17.0,Garbage in alley,17-00704747,Completed,Sanitation Code Violation,33.0,1154851.53697269,1927750.48472574,60618.0,IRVING PARK,1.0,170311606011
,,,,,,,,,,,,,,,,,4119 W MONTROSE AVE,16.0,2017-02-09,2017-02-08,41.96091921482292,"(41.960919214822916, -87.73032262566494)",-87.73032262566494,17.0,Other,17-00718377,Completed,Sanitation Code Violation,39.0,1148256.57447778,1928925.90198193,60641.0,IRVING PARK,1.0,170311602001
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-10,2017-02-09,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00732770,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,1.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-10,2017-02-09,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00732769,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,1.0,170311606021
,,,,,,,,,,,,,,,,,3243 N KENNETH AVE,16.0,2017-02-13,2017-02-09,41.93973656886436,"(41.93973656886436, -87.73828849353025)",-87.73828849353025,17.0,Construction Site Cleanliness/Fence,17-00732612,Completed,Sanitation Code Violation,30.0,1146143.60458246,1921191.74097696,60641.0,IRVING PARK,4.0,170311612002
,,,,,,,,,,,,,,,,,4032 N MOZART ST,16.0,2017-02-14,2017-02-10,41.95455321973826,"(41.95455321973826, -87.69948225857972)",-87.6994822585797,17.0,Garbage in yard,17-00751450,Completed - Dup,Sanitation Code Violation,33.0,1156661.71810826,1926666.64840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-14,2017-02-10,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Other,17-00751508,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4032 N MOZART ST,16.0,2017-02-14,2017-02-10,41.95455321973826,"(41.95455321973826, -87.69948225857972)",-87.6994822585797,17.0,Garbage in yard,17-00751271,Completed,Sanitation Code Violation,33.0,1156661.71810826,1926666.64840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4034 N MOZART ST,16.0,2017-02-14,2017-02-10,41.954589998285314,"(41.954589998285314, -87.69948336470284)",-87.69948336470283,17.0,Garbage in yard,17-00751332,Completed,Sanitation Code Violation,33.0,1156661.31810826,1926680.04840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-02-14,2017-02-10,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Garbage in yard,17-00751451,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,4.0,170311606021
,,,,,,,,,,,,,,,,,4342 N FRANCISCO AVE,16.0,2017-02-16,2017-02-10,41.96017717109636,"(41.96017717109635, -87.70087720280749)",-87.70087720280749,17.0,Garbage in alley,17-00750441,Completed,Sanitation Code Violation,33.0,1156267.15710283,1928713.2326755,60618.0,IRVING PARK,6.0,170311606013
,,,,,,,,,,,,,,,,,4350 N SPAULDING AVE,16.0,2017-02-16,2017-02-11,41.960515641703374,"(41.960515641703374, -87.71067310889957)",-87.71067310889956,17.0,Garbage in alley,17-00762511,Completed,Sanitation Code Violation,33.0,1153601.9319792,1928817.06012628,60618.0,IRVING PARK,5.0,170311605011
,,,,,,,,,,,,,,,,,4500 W ADDISON ST,16.0,2017-02-14,2017-02-12,41.94621565453925,"(41.946215654539245, -87.73967751998886)",-87.73967751998886,17.0,Construction Site Cleanliness/Fence,17-00785385,Completed,Sanitation Code Violation,45.0,1145749.33992976,1923550.1145969,60641.0,IRVING PARK,2.0,170311611002
,,,,,,,,,,,,,,,,,4538 W ADDISON ST,16.0,2017-02-14,2017-02-12,41.946197592866,"(41.946197592866, -87.74109775599234)",-87.74109775599234,17.0,Construction Site Cleanliness/Fence,17-00785607,Completed,Sanitation Code Violation,45.0,1145363.02000918,1923540.86009426,60641.0,IRVING PARK,2.0,170311611002
,,,,,,,,,,,,,,,,,4550 W ADDISON ST,16.0,2017-02-14,2017-02-12,41.946193807191094,"(41.946193807191094, -87.74148118604496)",-87.74148118604496,17.0,Construction Site Cleanliness/Fence,17-00787092,Completed,Sanitation Code Violation,45.0,1145258.72000918,1923538.76009426,60641.0,IRVING PARK,2.0,170311611002
,,,,,,,,,,,,,,,,,3643 N MONTICELLO AVE,16.0,2017-02-15,2017-02-12,41.947918201301114,"(41.947918201301114, -87.71887787019945)",-87.71887787019945,17.0,Garbage in yard,17-00786887,Completed - Dup,Sanitation Code Violation,45.0,1151403.29461693,1924210.40422736,60618.0,IRVING PARK,3.0,170311609001
,,,,,,,,,,,,,,,,,3643 N MONTICELLO AVE,16.0,2017-02-15,2017-02-12,41.947918201301114,"(41.947918201301114, -87.71887787019945)",-87.71887787019945,17.0,Garbage in yard,17-00786809,Completed,Sanitation Code Violation,45.0,1151403.29461693,1924210.40422736,60618.0,IRVING PARK,3.0,170311609001
,,,,,,,,,,,,,,,,,3651 N MONTICELLO AVE,16.0,2017-02-15,2017-02-12,41.947958547075,"(41.947958547075, -87.71887895314885)",-87.71887895314885,17.0,Garbage in yard,17-00786958,Completed,Sanitation Code Violation,45.0,1151402.89461693,1924225.10422736,60618.0,IRVING PARK,3.0,170311609001
,,,,,,,,,,,,,,,,,4028 N MOZART ST,16.0,2017-02-14,2017-02-13,41.95448021145578,"(41.95448021145578, -87.69948004089855)",-87.69948004089855,17.0,Overflowing carts,17-00809372,Completed - Dup,Sanitation Code Violation,33.0,1156662.51810826,1926640.04840253,60618.0,IRVING PARK,1.0,170311606021
